Mesa_Num,Mesa_ID,Ruta,Estado
1,100124,ACTAS/Argentina/Buenos Aires/Esc. De Educación Media N° 02/13° Escuela del Parque/mesa_1_100124.jpg,OK
2,100134,ACTAS/Argentina/Buenos Aires/Esc. De Educación Media N° 02/13° Escuela del Parque/mesa_2_100134.jpg,OK
3,100144,ACTAS/Argentina/Buenos Aires/Esc. De Educación Media N° 02/13° Escuela del Parque/mesa_3_100144.jpg,OK
5,100164,ACTAS/Argentina/Buenos Aires/Esc. De Educación Media N° 02/13° Escuela del Parque/mesa_5_100164.jpg,OK
6,100174,ACTAS/Argentina/Buenos Aires/Esc. De Educación Media N° 02/13° Escuela del Parque/mesa_6_100174.jpg,OK
7,100184,ACTAS/Argentina/Buenos Aires/Esc. De Educación Media N° 02/13° Escuela del Parque/mesa_7_100184.jpg,OK
1,100284,ACTAS/Argentina/Buenos Aires/Esc. de Educacion Media N° 06/01° Padre Carlos Mugica/mesa_1_100284.jpg,OK
2,100294,ACTAS/Argentina/Buenos Aires/Esc. de Educacion Media N° 06/01° Padre Carlos Mugica/mesa_2_100294.jpg,OK
5,100324,ACTAS/Argentina/Buenos Aires/Esc. de Educacion Media N° 06/01° Padre Carlos Mugica/mesa_5_100324.jpg,OK
3,100304,ACTAS/Argentina/Buenos Aires/Esc. de Educacion Media N° 06/01° Padre Carlos Mugica/mesa_3_100304.jpg,OK
4,100314,ACTAS/Argentina/Buenos Aires/Esc. de Educacion Media N° 06/01° Padre Carlos Mugica/mesa_4_100314.jpg,OK
6,100334,ACTAS/Argentina/Buenos Aires/Esc. de Educacion Media N° 06/01° Padre Carlos Mugica/mesa_6_100334.jpg,OK
1,100444,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_1_100444.jpg,OK
7,100344,ACTAS/Argentina/Buenos Aires/Esc. de Educacion Media N° 06/01° Padre Carlos Mugica/mesa_7_100344.jpg,OK
2,100454,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_2_100454.jpg,OK
3,100464,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_3_100464.jpg,OK
4,100474,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_4_100474.jpg,OK
5,100484,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_5_100484.jpg,OK
7,100504,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_7_100504.jpg,OK
6,100494,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_6_100494.jpg,OK
2,100364,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_2_100364.jpg,OK
1,100354,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_1_100354.jpg,OK
3,100374,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_3_100374.jpg,OK
4,100384,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_4_100384.jpg,OK
5,100394,ACTAS/Argentina/Buenos Aires/Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia/mesa_5_100394.jpg,OK
