Mesa_Num,Mesa_ID,Ruta,Estado
18,1003821,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_18_1003821.jpg,Ya descargado
1,8011502,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Cooperativa/Esc. Cooperativa/mesa_1_8011502.jpg,Ya descargado
14,8006371,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_14_8006371.jpg,Ya descargado
2,1002231,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Cristo Rey/mesa_2_1002231.jpg,Ya descargado
17,1003811,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_17_1003811.jpg,Ya descargado
1,8011532,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Campo Ana Maria/Esc. Campo Ana Maria/mesa_1_8011532.jpg,Ya descargado
13,8006361,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_13_8006361.jpg,Ya descargado
7,1003631,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Franz Tamayo/mesa_7_1003631.jpg,Ya descargado
16,1003801,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_16_1003801.jpg,Ya descargado
1,8011552,ACTAS/BOLIVIA/Beni/Yacuma/Exaltación/Bienvenido/U.E. Bienvenido/mesa_1_8011552.jpg,Ya descargado
12,8006351,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_12_8006351.jpg,Ya descargado
1,1001191,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_1_1001191.jpg,Ya descargado
15,1003791,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_15_1003791.jpg,Ya descargado
3,8007061,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Warnes/U.E.   Warnes/mesa_3_8007061.jpg,Ya descargado
11,8006341,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_11_8006341.jpg,Ya descargado
8,1003641,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Franz Tamayo/mesa_8_1003641.jpg,Ya descargado
14,1003781,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_14_1003781.jpg,Ya descargado
2,8007051,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Warnes/U.E.   Warnes/mesa_2_8007051.jpg,Ya descargado
10,8006331,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_10_8006331.jpg,Ya descargado
2,1001201,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_2_1001201.jpg,Ya descargado
13,1003771,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_13_1003771.jpg,Ya descargado
1,8007041,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Warnes/U.E.   Warnes/mesa_1_8007041.jpg,Ya descargado
9,8006321,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_9_8006321.jpg,Ya descargado
1,1006551,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_1_1006551.jpg,Ya descargado
12,1003761,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_12_1003761.jpg,Ya descargado
2,8007031,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Tumichucua/U.E. Zaida Gosalvez Alarcón/mesa_2_8007031.jpg,Ya descargado
8,8006311,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_8_8006311.jpg,Ya descargado
3,1001211,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_3_1001211.jpg,Ya descargado
11,1003751,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_11_1003751.jpg,Ya descargado
1,8007021,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Tumichucua/U.E. Zaida Gosalvez Alarcón/mesa_1_8007021.jpg,Ya descargado
7,8006301,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_7_8006301.jpg,Ya descargado
2,1006561,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_2_1006561.jpg,Ya descargado
10,1003741,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_10_1003741.jpg,Ya descargado
1,8007161,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Santuario/Escuela Santuario/mesa_1_8007161.jpg,Ya descargado
6,8006291,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Los Tajibos/mesa_6_8006291.jpg,Ya descargado
4,1001221,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_4_1001221.jpg,Ya descargado
