id_imagen,timestamp,departamento,provincia,municipio,localidad,recinto,numero_mesa,AP,LYP_ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,MORENA,UNIDAD,PDC,VOTOS_VALIDOS,VOTOS_BLANCOS,VOTOS_NULOS,suma_partidos,diferencia_votos_validos,status_validacion
mesa_2_3042731,2025-08-28T22:06:23.495639,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042731,101,87,86,107,11,160,100,111,106,111,88,111,869,758,ERROR
mesa_3_3042741,2025-08-28T22:06:23.841837,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042741,71,100,161,171,111,111,710,6,111,111,111,111,1552,1441,ERROR
mesa_4_3042751,2025-08-28T22:06:24.262679,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042751,11,171,101,0,108,111,180,101,181,101,100,11,964,863,ERROR
mesa_5_3042761,2025-08-28T22:06:24.645385,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042761,11,711,111,111,111,111,111,111,111,111,11,111,1499,1388,ERROR
mesa_6_3042771,2025-08-28T22:06:25.033723,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042771,961,11,111,801,181,111,188,11,111,111,111,111,2486,2375,ERROR
mesa_7_3042781,2025-08-28T22:06:25.581628,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042781,111,111,11,11,111,111,107,11,11,111,11,111,595,484,ERROR
mesa_8_3042791,2025-08-28T22:06:25.950146,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042791,111,101,111,111,181,111,117,181,111,108,111,111,1135,1027,ERROR
mesa_10_3042811,2025-08-28T22:06:26.350377,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042811,611,100,81,611,601,181,100,111,116,111,101,111,2512,2401,ERROR
mesa_9_3042801,2025-08-28T22:06:26.743958,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042801,111,178,111,11,111,111,111,111,111,111,111,11,966,855,ERROR
mesa_12_3042831,2025-08-28T22:06:27.153688,Cochabamba,Quillacollo,Colcapirhua,Santa Rosa (Colcapirhua),Unidad Educativa La Sagrada Familia,3042831,160,171,161,171,118,8,69,770,101,118,107,81,1729,1611,ERROR
